country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belgium,"0,53","0,5","0,43","0,48","0,55","0,64","0,54","0,47","0,45","0,46"
Bulgaria,,0,"0,06","0,04","0,04","0,09","0,09","0,08","0,1","0,08"
Czech Republic,"0,11","0,12","0,11","0,12","0,12","0,13","0,12","0,12","0,11","0,11"
Denmark,"0,81","0,8","0,81","0,82","0,88","0,91","0,85","0,83","0,85","0,85"
Germany,"0,36","0,36","0,37","0,38","0,35","0,39","0,39","0,37","0,38","0,41"
Estonia,"0,08","0,09","0,08","0,1","0,1","0,1","0,11","0,11","0,13","0,15"
Ireland,"0,42","0,54","0,55","0,59","0,54","0,52","0,51","0,47","0,46","0,38"
Greece,"0,17","0,17","0,16","0,21","0,19","0,17","0,15","0,13","0,1","0,11"
Spain,"0,27","0,32","0,37","0,45","0,46","0,43","0,29","0,16","0,18","0,14"
France,"0,47","0,47","0,38","0,39","0,47","0,5","0,46","0,45","0,41","0,36"
Croatia,,,,,,,"0,03","0,03","0,07","0,11"
Italy,"0,29","0,2","0,19","0,22","0,16","0,15","0,2","0,14","0,17","0,16"
Cyprus,"0,09","0,15","0,17","0,17","0,2","0,23","0,16","0,12","0,1","0,1"
Latvia,"0,07","0,06","0,06","0,07","0,07","0,06","0,07","0,08","0,08","0,08"
Lithuania,"0,06","0,08","0,11","0,11","0,11","0,1","0,13","0,13","0,11","0,09"
Luxembourg,"0,79","0,89","0,92","0,97","1,04","1,05","0,97",1,1,"1,07"
Hungary,"0,11","0,13","0,08","0,08","0,1","0,09","0,11","0,1","0,1","0,12"
Malta,"0,17","0,15","0,15","0,2","0,18","0,18","0,25","0,23","0,2","0,2"
Netherlands,"0,82","0,81","0,81","0,8","0,82","0,81","0,75","0,71","0,67","0,64"
Austria,"0,52","0,47","0,5","0,43","0,3","0,32","0,27","0,28","0,27","0,26"
Poland,"0,07","0,09","0,1","0,08","0,09","0,08","0,08","0,09","0,1","0,08"
Portugal,"0,21","0,21","0,22","0,27","0,23","0,29","0,31","0,28","0,23","0,19"
Romania,,0,"0,07","0,09","0,08","0,07","0,09","0,08","0,07","0,1"
Slovenia,"0,11","0,12","0,12","0,13","0,15","0,13","0,13","0,13","0,13","0,13"
Slovakia,"0,12","0,1","0,09","0,1","0,09","0,09","0,09","0,09","0,09","0,08"
Finland,"0,46","0,4","0,39","0,44","0,54","0,55","0,53","0,53","0,54","0,6"
Sweden,"0,94","1,02","0,93","0,98","1,12","0,97","1,02","0,97","1,01","1,1"
United Kingdom,"0,47","0,51","0,36","0,43","0,51","0,57","0,56","0,56","0,71","0,71"
Iceland,"0,18","0,27","0,27","0,47","0,35","0,29","0,21","0,22","0,26",
Norway,"0,94","0,89","0,95","0,89","1,06","1,05","0,96","0,93","1,07",
Switzerland,"0,42","0,38","0,37","0,42","0,44","0,39","0,45","0,47","0,47",
Turkey,"0,17","0,18","0,09","0,11","0,11","0,13","0,16","0,32","0,42",
